Stock Name,Day,Action,Stock Price,Cash,Shares Held,Portfolio Value,Date,Actual Sell
ASTS,0,Hold,3.240000009536743,10000,0,10000.0,2023-10-30,
ASTS,1,Hold,3.309999942779541,10000,0,10000.0,2023-10-31,
ASTS,2,Hold,3.4700000286102295,10000,0,10000.0,2023-11-01,
ASTS,3,Hold,3.7699999809265137,10000,0,10000.0,2023-11-02,
ASTS,4,Hold,4.139999866485596,10000,0,10000.0,2023-11-03,
ASTS,5,Buy,4.010000228881836,9995.989999771118,1,10000.0,2023-11-06,
ASTS,6,Buy,3.9700000286102295,9992.019999742508,2,9999.959999799728,2023-11-07,
ASTS,7,Hold,4.090000152587891,9992.019999742508,2,10000.200000047684,2023-11-08,
ASTS,8,Buy,4.130000114440918,9987.889999628067,3,10000.27999997139,2023-11-09,
ASTS,9,Hold,4.309999942779541,9987.889999628067,3,10000.819999456406,2023-11-10,
ASTS,10,Buy,4.0,9983.889999628067,4,9999.889999628067,2023-11-13,
ASTS,11,Buy,3.7699999809265137,9980.11999964714,5,9998.969999551773,2023-11-14,
ASTS,12,Hold,4.659999847412109,9980.11999964714,5,10003.419998884201,2023-11-15,
ASTS,13,Buy,4.570000171661377,9975.54999947548,6,10002.970000505447,2023-11-16,
ASTS,14,Hold,4.829999923706055,9975.54999947548,6,10004.529999017715,2023-11-17,
ASTS,15,Buy,4.78000020980835,9970.76999926567,7,10004.23000073433,2023-11-20,
ASTS,16,Buy,4.309999942779541,9966.459999322891,8,10000.939998865128,2023-11-21,
ASTS,17,Buy,4.349999904632568,9962.109999418259,9,10001.259998559952,2023-11-22,
ASTS,18,Hold,4.840000152587891,9962.109999418259,9,10005.67000079155,2023-11-24,
ASTS,19,Buy,4.760000228881836,9957.349999189377,10,10004.950001478195,2023-11-27,
ASTS,20,Buy,4.579999923706055,9952.76999926567,11,10003.149998426437,2023-11-28,
ASTS,21,Hold,5.019999980926514,9952.76999926567,11,10007.989999055862,2023-11-29,
ASTS,22,Buy,4.849999904632568,9947.919999361038,12,10006.119998216629,2023-11-30,
ASTS,23,Hold,5.179999828338623,9947.919999361038,12,10010.079997301102,2023-12-01,
ASTS,24,Buy,4.949999809265137,9942.969999551773,13,10007.31999707222,2023-12-04,
ASTS,25,Buy,4.829999923706055,9938.139999628067,14,10005.759998559952,2023-12-05,
ASTS,26,Hold,5.099999904632568,9938.139999628067,14,10009.539998292923,2023-12-06,
ASTS,27,Buy,5.110000133514404,9933.029999494553,15,10009.680001497269,2023-12-07,
ASTS,28,Hold,5.480000019073486,9933.029999494553,15,10015.229999780655,2023-12-08,
