iter	Passed	Remaining
0	21	21697
1	35	17619
2	45	14974
3	54	13607
4	65	12937
5	78	12955
6	89	12749
7	121	15058
8	233	25762
9	279	27717
10	296	26632
11	308	25419
12	318	24203
13	339	23896
14	359	23619
15	374	23004
16	384	22228
17	396	21649
18	408	21104
19	421	20637
20	436	20347
21	469	20891
22	495	21041
23	516	20990
24	530	20702
25	542	20321
26	554	19997
27	565	19618
28	576	19290
29	588	19037
30	602	18823
31	613	18566
32	624	18304
33	637	18112
34	649	17896
35	660	17678
36	676	17616
37	688	17433
38	698	17216
39	707	16987
40	720	16856
41	731	16677
42	743	16537
43	755	16413
44	766	16272
45	777	16130
46	787	15971
47	796	15790
48	806	15647
49	819	15572
50	835	15553
51	849	15481
52	859	15361
53	874	15314
54	887	15254
55	900	15172
56	913	15110
57	924	15018
58	936	14943
59	952	14926
60	963	14836
61	976	14779
62	987	14689
63	1002	14656
64	1015	14603
65	1031	14597
66	1045	14565
67	1059	14518
68	1073	14480
69	1084	14414
70	1095	14328
71	1109	14299
72	1119	14214
73	1130	14147
74	1141	14079
75	1153	14025
76	1168	14008
77	1180	13956
78	1196	13947
79	1207	13880
80	1216	13800
81	1230	13773
82	1245	13756
83	1256	13703
84	1270	13675
85	1281	13624
86	1294	13585
87	1309	13570
88	1321	13527
89	1331	13466
90	1341	13399
91	1358	13409
92	1372	13388
93	1383	13329
94	1396	13306
95	1412	13296
96	1424	13260
97	1441	13271
98	1453	13229
99	1465	13192
100	1479	13171
101	1490	13124
102	1500	13067
103	1510	13010
104	1524	12993
105	1534	12944
106	1549	12933
107	1579	13046
108	1598	13068
109	1620	13112
110	1638	13125
111	1655	13126
112	1669	13106
113	1682	13074
114	1696	13055
115	1706	13007
116	1715	12947
117	1724	12890
118	1734	12837
119	1743	12782
120	1752	12727
121	1760	12670
122	1770	12624
123	1780	12578
124	1793	12556
125	1807	12534
126	1819	12509
127	1829	12461
128	1838	12415
129	1849	12377
130	1859	12331
131	1869	12295
132	1879	12249
133	1889	12212
134	1900	12179
135	1910	12135
136	1919	12092
137	1929	12052
138	1940	12021
139	1951	11984
140	1959	11939
141	1970	11904
142	1980	11867
143	1988	11820
144	1997	11777
145	2006	11739
146	2016	11700
147	2024	11653
148	2032	11609
149	2041	11568
150	2050	11531
151	2058	11486
152	2067	11442
153	2075	11402
154	2083	11359
155	2091	11316
156	2099	11274
157	2108	11236
158	2117	11201
159	2129	11180
160	2141	11158
161	2153	11142
162	2164	11116
163	2174	11085
164	2183	11052
165	2192	11013
166	2201	10980
167	2210	10946
168	2218	10908
169	2226	10869
170	2234	10831
171	2245	10809
172	2255	10782
173	2269	10773
174	2282	10759
175	2294	10744
176	2308	10735
177	2322	10724
178	2333	10701
179	2344	10682
180	2355	10656
181	2365	10632
182	2376	10610
183	2387	10586
184	2400	10573
185	2415	10572
186	2426	10549
187	2436	10524
188	2445	10495
189	2453	10460
190	2461	10426
191	2470	10396
192	2479	10366
193	2487	10334
194	2495	10300
195	2504	10271
196	2512	10242
197	2522	10217
198	2531	10188
199	2540	10160
200	2548	10128
201	2556	10099
202	2566	10074
203	2574	10046
204	2583	10018
205	2592	9992
206	2600	9962
207	2608	9931
208	2616	9901
209	2625	9875
210	2634	9850
211	2642	9821
212	2649	9791
213	2658	9764
214	2666	9737
215	2675	9709
216	2683	9683
217	2691	9656
218	2700	9629
219	2708	9604
220	2716	9575
221	2725	9550
222	2734	9526
223	2742	9501
224	2751	9478
225	2760	9455
226	2769	9431
227	2777	9403
228	2785	9379
229	2794	9355
230	2802	9329
231	2810	9303
232	2819	9280
233	2826	9253
234	2835	9230
235	2843	9205
236	2851	9181
237	2860	9158
238	2869	9136
239	2878	9115
240	2888	9096
241	2896	9072
242	2906	9054
243	2915	9034
244	2923	9009
245	2932	8988
246	2941	8966
247	2949	8943
248	2958	8922
249	2966	8899
250	2975	8877
251	2983	8857
252	2992	8834
253	3001	8814
254	3009	8793
255	3017	8771
256	3027	8752
257	3035	8730
258	3043	8708
259	3053	8689
260	3061	8669
261	3070	8650
262	3079	8630
263	3089	8614
264	3100	8600
265	3109	8581
266	3118	8562
267	3129	8547
268	3139	8530
269	3146	8508
270	3155	8488
271	3164	8469
272	3172	8447
273	3180	8427
274	3188	8406
275	3196	8385
276	3205	8367
277	3214	8348
278	3222	8326
279	3231	8310
280	3240	8292
281	3249	8273
282	3259	8257
283	3269	8242
284	3279	8227
285	3292	8220
286	3301	8202
287	3313	8191
288	3323	8177
289	3333	8161
290	3343	8146
291	3353	8131
292	3363	8115
293	3373	8099
294	3381	8082
295	3389	8062
296	3399	8045
297	3408	8028
298	3417	8012
299	3427	7998
300	3438	7985
301	3447	7967
302	3455	7949
303	3463	7930
304	3471	7910
305	3479	7892
306	3489	7875
307	3497	7858
308	3507	7843
309	3515	7824
310	3523	7805
311	3532	7789
312	3540	7770
313	3548	7753
314	3561	7745
315	3572	7733
316	3583	7721
317	3593	7706
318	3601	7689
319	3610	7671
320	3619	7655
321	3628	7639
322	3637	7623
323	3645	7605
324	3654	7589
325	3662	7573
326	3671	7555
327	3679	7539
328	3688	7522
329	3696	7504
330	3705	7489
331	3714	7472
332	3722	7455
333	3730	7437
334	3738	7421
335	3746	7404
336	3755	7389
337	3763	7371
338	3772	7356
339	3780	7339
340	3789	7323
341	3798	7307
342	3806	7291
343	3814	7274
344	3823	7258
345	3831	7243
346	3840	7226
347	3848	7210
348	3856	7193
349	3864	7177
350	3873	7161
351	3881	7145
352	3890	7130
353	3898	7113
354	3906	7097
355	3915	7083
356	3924	7068
357	3932	7052
358	3940	7035
359	3948	7019
360	3956	7004
361	3965	6989
362	3973	6972
363	3982	6958
364	3990	6942
365	3999	6927
366	4008	6913
367	4016	6897
368	4024	6882
369	4033	6867
370	4041	6851
371	4049	6836
372	4058	6821
373	4066	6806
374	4074	6791
375	4083	6777
376	4091	6760
377	4099	6745
378	4108	6732
379	4118	6719
380	4127	6706
381	4137	6693
382	4148	6682
383	4157	6669
384	4166	6656
385	4177	6644
386	4187	6632
387	4198	6621
388	4208	6609
389	4218	6598
390	4231	6591
391	4244	6582
392	4252	6568
393	4262	6556
394	4272	6543
395	4280	6529
396	4289	6515
397	4298	6501
