Stock Name,Day,Action,Stock Price,Cash,Shares Held,Portfolio Value,Date
A,0.0,Sell,144.52499389648438,10000.0,0.0,10000.0,2024-09-10
A,2.0,Sell,143.80499267578125,10000.0,0.0,10000.0,2024-10-11
A,1.0,Sell,142.74000549316406,10000.0,0.0,10000.0,2024-10-10
AAPL,0.0,Sell,229.60499572753903,10000.0,0.0,10000.0,2024-09-10
AAPL,1.0,Sell,229.0399932861328,10000.0,0.0,10000.0,2024-10-10
AAPL,2.0,Sell,227.83999633789065,10000.0,0.0,10000.0,2024-10-11
ABBV,1.0,Hold,194.3500061035156,10000.0,0.0,10000.0,2024-10-10
ABBV,0.0,Hold,193.4550018310547,10000.0,0.0,10000.0,2024-09-10
ABBV,2.0,Hold,193.93499755859375,10000.0,0.0,10000.0,2024-10-11
ABNB,2.0,Hold,134.5,10000.0,0.0,10000.0,2024-10-11
ABNB,1.0,Hold,132.80999755859375,10000.0,0.0,10000.0,2024-10-10
ABNB,0.0,Hold,135.0,10000.0,0.0,10000.0,2024-09-10
ABT,1.0,Sell,115.62000274658205,10000.0,0.0,10000.0,2024-10-10
ABT,0.0,Sell,115.44000244140624,10000.0,0.0,10000.0,2024-09-10
ABT,2.0,Sell,116.30500030517578,10000.0,0.0,10000.0,2024-10-11
ACGL,1.0,Sell,113.9000015258789,10000.0,0.0,10000.0,2024-10-10
ACGL,0.0,Sell,112.3949966430664,10000.0,0.0,10000.0,2024-09-10
ACGL,2.0,Sell,114.55999755859376,10000.0,0.0,10000.0,2024-10-11
ACN,2.0,Buy,361.1000061035156,8912.689971923826,3.0,9995.989990234371,2024-10-11
ACN,0.0,Buy,365.1400146484375,9634.85998535156,1.0,10000.0,2024-09-10
ACN,1.0,Buy,361.0700073242187,9273.789978027342,2.0,9995.92999267578,2024-10-10
ADBE,1.0,Sell,503.5700073242187,10000.0,0.0,10000.0,2024-10-10
ADBE,2.0,Sell,496.4299926757813,10000.0,0.0,10000.0,2024-10-11
ADBE,0.0,Sell,495.25,10000.0,0.0,10000.0,2024-09-10
ADI,2.0,Sell,233.8300018310547,10000.0,0.0,10000.0,2024-10-11
ADI,1.0,Sell,230.6999969482422,10000.0,0.0,10000.0,2024-10-10
ADI,0.0,Sell,232.1573028564453,10000.0,0.0,10000.0,2024-09-10
ADM,0.0,Sell,57.130001068115234,10000.0,0.0,10000.0,2024-09-10
ADM,1.0,Sell,57.290000915527344,10000.0,0.0,10000.0,2024-10-10
ADM,2.0,Sell,58.275001525878906,10000.0,0.0,10000.0,2024-10-11
ADP,0.0,Sell,286.364990234375,10000.0,0.0,10000.0,2024-09-10
ADP,1.0,Sell,286.9100036621094,10000.0,0.0,10000.0,2024-10-10
ADP,2.0,Sell,287.4100036621094,10000.0,0.0,10000.0,2024-10-11
ADSK,0.0,Sell,276.79998779296875,10000.0,0.0,10000.0,2024-09-10
ADSK,1.0,Sell,277.7099914550781,10000.0,0.0,10000.0,2024-10-10
ADSK,2.0,Sell,281.3900146484375,10000.0,0.0,10000.0,2024-10-11
AEE,0.0,Sell,86.01000213623047,10000.0,0.0,10000.0,2024-09-10
AEE,1.0,Sell,85.80999755859375,10000.0,0.0,10000.0,2024-10-10
AEE,2.0,Sell,86.30999755859375,10000.0,0.0,10000.0,2024-10-11
AEP,1.0,Buy,97.22000122070312,9805.26000213623,2.0,9999.700004577637,2024-10-10
AEP,2.0,Buy,98.20999908447266,9707.050003051758,3.0,10001.680000305176,2024-10-11
