Stock Name,Day,Action,Stock Price,Cash,Shares Held,Portfolio Value,Date
A,0,Hold,144.8000030517578,10000.0,0.0,10000.0,2024-10-09
A,1,Sell,142.74000549316406,10000.0,0.0,10000.0,2024-10-10
A,1,Sell,133.02999877929688,10000.0,0.0,10000.0,2024-10-23
A,1,Sell,131.78109741210938,10000.0,0.0,10000.0,2024-10-24
A,1,Sell,129.74000549316406,10000.0,0.0,10000.0,2024-10-25
A,2,Sell,143.82000732421875,10000.0,0.0,10000.0,2024-10-11
A,3,Sell,144.25,10000.0,0.0,10000.0,2024-10-14
A,4,Sell,144.5800018310547,10000.0,0.0,10000.0,2024-10-15
A,5,Sell,138.8300018310547,10000.0,0.0,10000.0,2024-10-16
A,6,Sell,138.24569702148438,10000.0,0.0,10000.0,2024-10-17
A,7,Sell,138.77499389648438,10000.0,0.0,10000.0,2024-10-18
A,8,Sell,136.8699951171875,10000.0,0.0,10000.0,2024-10-21
A,9,Sell,133.57000732421875,10000.0,0.0,10000.0,2024-10-22
AAPL,0,Buy,229.5399932861328,9770.460006713867,1.0,10000.0,2024-10-09
AAPL,1,Buy,229.0399932861328,9541.420013427734,2.0,9999.5,2024-10-10
AAPL,1,Sell,230.7599945068359,10001.220001220703,0.0,10001.220001220703,2024-10-23
AAPL,1,Sell,230.6674041748047,10001.127410888672,0.0,10001.127410888672,2024-10-24
AAPL,1,Sell,231.9239959716797,9770.460006713867,1.0,10002.384002685549,2024-10-25
AAPL,2,Sell,227.5500030517578,9768.970016479492,1.0,9996.52001953125,2024-10-11
AAPL,3,Hold,231.3000030517578,9768.970016479492,1.0,10000.27001953125,2024-10-14
AAPL,4,Sell,233.8500061035156,10004.310012817385,0.0,10004.310012817385,2024-10-15
AAPL,5,Sell,231.09759521484375,10001.557601928713,0.0,10001.557601928713,2024-10-16
AAPL,6,Sell,231.6199951171875,10002.080001831057,0.0,10002.080001831057,2024-10-17
AAPL,7,Sell,235.2449951171875,10005.705001831057,0.0,10005.705001831057,2024-10-18
AAPL,8,Sell,236.26499938964844,10006.725006103516,0.0,10006.725006103516,2024-10-21
AAPL,9,Sell,234.8999938964844,10005.360000610352,0.0,10005.360000610352,2024-10-22
ABBV,4,Hold,191.86000061035156,10000.0,0.0,10000.0,2024-10-15
